"","AIANNHCE","AIANNHNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","COMPTYP","AIANNHR","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"1","1800","00394860","1800R","Kootenai","Kootenai Reservation","86","D8","R","F","G2101","A",90698,0,"+48.7077476","-116.3698298"
"2","2980","01934332","2980R","Prairie Band of Potawatomi Nation","Prairie Band of Potawatomi Nation Reservation","86","D2","R","F","G2101","A",314701434,174485,"+39.3473013","-095.8397870"
"3","1610","01616981","1610R","Isabella","Isabella Reservation","86","D8","R","F","G2101","A",560523700,4434969,"+43.6761118","-084.7807446"
"4","1970","00275865","1970R","Lone Pine","Lone Pine Reservation","86","D2","R","F","G2101","A",952613,0,"+36.5968832","-118.0560422"
"5","3305","01843172","3305R","St. Croix","St. Croix Reservation","86","D8","R","F","G2101","A",8116358,147464,"+45.5228123","-092.2749551"
"6","0940","00862214","0940R","Dresslerville","Dresslerville Colony","81","D2","R","F","G2101","A",3178582,0,"+38.9038028","-119.7115698"
"7","3165","00273286","3165R","Rincon","Rincon Reservation","86","D2","R","F","G2101","A",15956359,0,"+33.2639115","-116.9590514"
"8","3460","00255933","3460R","San Pasqual","San Pasqual Reservation","86","D2","R","F","G2101","A",5793801,0,"+33.2111903","-116.9627310"
"9","3550","00255932","3550R","Santa Ysabel","Santa Ysabel Reservation","86","D2","R","F","G2101","A",60672782,0,"+33.1837003","-116.6586025"
"10","4090","00273630","4090R","Sycuan","Sycuan Reservation","86","D8","R","F","G2101","A",2553458,0,"+32.7795183","-116.8326301"
"11","1960","02418998","1960R","Little River","Little River Reservation","86","D8","R","F","G2101","A",702364,7307,"+44.2862765","-086.2487399"
"12","1860","01934336","1860R","Lake Traverse","Lake Traverse Reservation","86","D8","R","F","G2101","A",3753456657,153551549,"+45.6436354","-097.0923712"
"13","0575","01503930","0575R","Chehalis","Chehalis Reservation","86","D8","R","F","G2101","A",17661926,532663,"+46.8185500","-123.2063360"
"14","3040","01531838","3040R","Quinault","Quinault Reservation","86","D2","R","F","G2101","A",809774191,29588047,"+47.4191801","-124.1403664"
"15","3085","01577204","3085R","Red Cliff","Red Cliff Reservation","86","D8","R","F","G2101","A",56847405,351028,"+46.9100605","-090.7874406"
"16","3635","02419132","3635R","Sault Ste. Marie","Sault Ste. Marie Reservation","86","D8","R","F","G2101","A",2290256,45259,"+46.4726976","-084.2079693"
"17","0170","01622234","0170R","Bay Mills","Bay Mills Reservation","86","D8","R","F","G2101","A",8950407,289940,"+46.4463369","-084.6100220"
"18","1475","00284183","1475R","Hollywood","Hollywood Reservation","86","D2","R","F","G2101","A",1997715,56408,"+26.0418692","-080.2120379"
"19","1150","00767938","1150R","Fort Belknap","Fort Belknap Reservation","86","D8","R","F","G2101","A",2510842811,9531515,"+48.2019895","-108.6304734"
"20","3925","00169585","3925R","Southern Ute","Southern Ute Reservation","86","D2","R","F","G2101","A",2742074028,12137457,"+37.1064024","-107.6501252"
"21","4470","00169579","4470R","Ute Mountain","Ute Mountain Reservation","86","D8","R","F","G2101","A",2302764031,597786,"+37.0971249","-108.6501522"
"22","4255","00255924","4255R","Torres-Martinez","Torres-Martinez Reservation","86","D2","R","F","G2101","A",88619090,38962137,"+33.3462548","-116.0201800"
"23","4375","00250737","4375R","Twenty-Nine Palms","Twenty-Nine Palms Reservation","86","D2","R","F","G2101","A",1555103,0,"+33.7104850","-116.1877617"
"24","0335","02105053","0335R","Bois Forte","Bois Forte Reservation","86","D2","R","F","G2101","A",517131288,31652431,"+48.0523879","-093.2535967"
"25","1125","00654521","1125R","Fond du Lac","Fond du Lac Reservation","86","D8","R","F","G2101","A",398784503,12671365,"+46.7460045","-092.6379310"
"26","4045","00858261","4045R","Summit Lake","Summit Lake Reservation","86","D8","R","F","G2101","A",48222494,1837377,"+41.5257358","-119.0473844"
"27","4635","00849652","4635R","Winnemucca","Winnemucca Indian Colony","98","D2","R","F","G2101","A",1441446,0,"+40.9531627","-117.7211985"
"28","2625","01436088","2625R","Paiute (UT)","Paiute (UT) Reservation","86","D2","R","F","G2101","A",131568067,47655,"+37.1701757","-113.7832703"
"29","1220","00036978","1220R","Fort McDowell Yavapai Nation","Fort McDowell Yavapai Nation Reservation","86","D2","R","F","G2101","A",99968322,934540,"+33.6461625","-111.6598954"
"30","1310","00023998","1310R","Gila River","Gila River Indian Reservation","96","D2","R","F","G2101","A",1511628322,939503,"+33.1544716","-111.9246051"
"31","3340","00037072","3340R","Salt River","Salt River Reservation","86","D2","R","F","G2101","A",213110060,7082422,"+33.5222009","-111.7981089"
"32","4200","00023763","4200R","Tohono O'odham Nation","Tohono O'odham Nation Reservation","86","D8","R","F","G2101","A",11534195722,883035,"+32.1500358","-112.0704020"
"33","2550","00834985","2550R","Omaha","Omaha Reservation","86","D2","R","F","G2101","A",795199214,7680088,"+42.0968907","-096.5306498"
"34","1545","00045633","1545R","Hualapai","Hualapai Indian Reservation","96","D8","R","F","G2101","A",4121334601,8117264,"+35.5095008","-113.4010132"
"35","1720","00023994","1720R","Kaibab","Kaibab Indian Reservation","96","D2","R","F","G2101","A",491427774,19920,"+36.9097094","-112.6673019"
"36","1555","02418972","1555R","Immokalee","Immokalee Reservation","86","D2","R","F","G2101","A",2513944,21068,"+26.4026124","-081.4134730"
"37","0605","01267254","0605R","Cheyenne River","Cheyenne River Reservation","86","D8","R","F","G2101","A",11031290262,393805817,"+45.0877477","-101.2375877"
"38","0305","00806895","0305R","Blackfeet","Blackfeet Indian Reservation","96","D8","R","F","G2101","A",6144609561,71351019,"+48.6512884","-112.8912475"
"39","3520","00247949","3520R","Santa Rosa","Santa Rosa Rancheria","85","D2","R","F","G2101","A",1620470,0,"+36.2361110","-119.7551327"
"40","4665","01985241","4665R","Woodfords","Woodfords Community","82","D2","R","F","G2101","A",1578715,0,"+38.8004850","-119.7941527"
"41","1395","00266781","1395R","Grindstone","Grindstone Indian Rancheria","97","D2","R","F","G2101","A",326144,22791,"+39.6726782","-122.5176493"
"42","2810","01263144","2810R","Pine Ridge","Pine Ridge Reservation","86","D2","R","F","G2101","A",11248702529,27418523,"+43.3449996","-102.0818655"
"43","4405","01159100","4405R","Umatilla","Umatilla Reservation","86","D8","R","F","G2101","A",700435503,0,"+45.6272331","-118.5442651"
"44","0400","01118340","0400R","Burns Paiute","Burns Paiute Indian Colony","98","D8","R","F","G2101","A",3304028,0,"+43.6026833","-119.0638148"
"45","4000","02419481","4000R","Stillaguamish","Stillaguamish Reservation","86","D8","R","F","G2101","A",78379,0,"+48.2143947","-122.1856530"
"46","4290","01511575","4290R","Tulalip","Tulalip Reservation","86","D8","R","F","G2101","A",89887067,45270773,"+48.0766615","-122.2614677"
"47","2910","01507567","2910R","Port Gamble","Port Gamble Reservation","86","D8","R","F","G2101","A",4855063,0,"+47.8529437","-122.5606392"
"48","2925","01507571","2925R","Port Madison","Port Madison Reservation","86","D2","R","F","G2101","A",30177039,0,"+47.7367881","-122.5540538"
"49","3220","00231831","3220R","Rohnerville","Rohnerville Rancheria","85","D2","R","F","G2101","A",176276,0,"+40.5799098","-124.1237603"
"50","4095","01665550","4095R","Table Bluff","Table Bluff Reservation","86","D2","R","F","G2101","A",305521,0,"+40.6906501","-124.2521799"
"51","4275","00268407","4275R","Trinidad","Trinidad Rancheria","85","D8","R","F","G2101","A",230908,0,"+41.0542229","-124.1304925"
"52","4760","02419530","4760R","Yurok","Yurok Reservation","86","D2","R","F","G2101","A",219458467,8670502,"+41.3791592","-123.9023288"
"53","4595","01934333","4595R","White Earth","White Earth Reservation","86","D8","R","F","G2101","A",2832509034,179684843,"+47.2119601","-095.7275247"
